,Writer_Avg_Rating,Director_Avg_Rating,Actor_Avg_Rating,runtimeMinutes,OMDB_Metascore,genres,OMDB_Rated,ReleaseMonth,averageRating,actual,predictions
5398,6.27,6.45,6.06,99.0,57.0,2,3,1.0,5.9,5.9,6.020666666666688
5399,6.68,6.07,6.52,99.0,68.0,12,3,9.0,7.1,7.1,6.952666666666642
5400,5.85,5.91,5.97,95.0,33.0,4,0,3.0,6.1,6.1,5.409666666666673
5401,5.08,6.8,6.15,83.0,31.0,6,2,2.0,5.2,5.2,5.220666666666681
5402,5.4,5.92,6.13,97.0,41.0,4,0,12.0,5.4,5.4,5.432666666666682
5403,7.39,7.37,7.46,97.0,83.0,4,3,11.0,7.4,7.4,7.524333333333338
5404,5.93,6.23,6.44,88.0,51.0,4,0,8.0,6.1,6.1,6.150999999999979
5405,6.44,6.47,5.97,106.0,81.0,4,3,9.0,6.1,6.1,6.301999999999982
5406,4.91,5.29,5.69,94.0,23.0,4,0,7.0,5.0,5.0,4.905333333333336
5407,4.35,4.44,5.69,96.0,37.0,6,3,9.0,4.4,4.4,4.784666666666679
5408,6.13,6.3,7.1,102.0,75.0,4,2,8.0,7.1,7.1,7.151333333333311
5409,6.6,6.49,5.99,85.0,67.0,4,3,4.0,6.2,6.2,6.266333333333353
5410,6.28,6.1,6.8,97.0,58.0,4,3,8.0,6.8,6.8,6.806666666666643
5411,5.49,5.76,5.65,125.0,53.0,2,3,10.0,5.4,5.4,5.484000000000018
5412,6.4,6.4,6.1,95.0,44.0,6,3,3.0,5.3,5.3,5.683999999999977
5413,7.13,7.56,6.59,100.0,63.0,4,3,6.0,7.2,7.2,7.147666666666679
5414,5.81,6.46,6.33,116.0,57.0,4,0,5.0,6.1,6.1,6.1479999999999775
5415,5.13,4.49,6.13,89.0,52.0,6,2,6.0,5.6,5.6,5.539333333333314
5416,6.99,7.2,6.89,96.0,72.0,4,1,6.0,7.4,7.4,7.279333333333357
5417,5.93,6.14,6.28,88.0,55.0,2,2,5.0,6.2,6.2,6.176000000000017
5418,6.42,6.61,6.73,119.0,71.0,10,2,5.0,7.1,7.1,7.1299999999999715
5419,6.26,6.67,6.54,123.0,80.0,4,2,9.0,6.5,6.5,6.745000000000001
5420,6.43,6.62,6.11,135.0,67.0,12,0,5.0,7.1,7.1,7.019999999999977
5421,6.44,6.38,6.52,147.0,30.0,2,2,10.0,5.9,5.9,6.203666666666666
5422,6.36,7.22,6.49,101.0,74.0,4,2,4.0,7.2,7.2,7.193666666666685
5423,6.48,6.48,6.14,83.0,74.0,2,3,3.0,6.3,6.3,6.393333333333313
5424,7.35,5.35,5.81,100.0,58.0,2,0,6.0,4.3,4.3,5.2146666666666475
5425,7.14,7.01,6.2,117.0,85.0,2,0,4.0,6.9,6.9,7.392333333333336
5426,6.88,6.88,6.51,125.0,79.0,4,0,1.0,7.0,7.0,7.125333333333331
5427,5.88,5.17,5.77,96.0,32.0,12,2,9.0,5.2,5.2,5.363333333333352
