Writer,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating
Susan Seidelman,1,3127472.0,2900000.0,61.0,6.5
Peter Bull,1,101270.0,2900000.0,58.0,6.3
Alex Gibney,2,375931.0,3900000.0,140.0,13.8
Jeremy Chilnick,1,101270.0,2900000.0,58.0,6.3
Leon Ford,1,nan,2900000.0,49.0,6.0
Robert Thoeren,1,nan,2883848.0,98.0,8.2
Gene Wilder,1,86273333.0,2800000.0,83.0,8.0
Kenji Bando,1,9561064.0,2800000.0,38.0,6.6
Eric Kirsten,1,9561064.0,2800000.0,38.0,6.6
Justin Barber,1,3600146.0,2800000.0,33.0,5.3
Noel Langley,1,24668669.0,2777000.0,92.0,8.1
Florence Ryerson,1,24668669.0,2777000.0,92.0,8.1
Edgar Allan Woolf,1,24668669.0,2777000.0,92.0,8.1
Cédric Anger,1,nan,2750000.0,nan,6.1
Werner Schroeter,1,nan,2750000.0,nan,6.1
Victor Nunez,2,10163128.0,3500000.0,154.0,13.9
Nicola Guaglianone,1,nan,2700000.0,80.0,6.9
Barbara Petronio,1,nan,2700000.0,80.0,6.9
Edoardo De Angelis,1,nan,2700000.0,80.0,6.9
Claus Deleuran,1,nan,2700000.0,nan,5.7
Rasmus Heisterberg,1,nan,2700000.0,nan,5.7
Frank S. Nugent,2,nan,4286000.0,151.0,13.9
James Edward Grant,3,nan,5686000.0,nan,20.7
Kent Jones,1,336166.0,2660000.0,86.0,6.7
Alex van Warmerdam,1,nan,2650000.0,nan,7.0
Chandler Sprague,1,nan,2627000.0,nan,6.9
David Boehm,1,nan,2627000.0,nan,6.9
Frederick Hazlitt Brennan,1,nan,2627000.0,nan,6.9
Norman Steinberg,1,119616663.0,2600000.0,73.0,7.7
Pawel Pawlikowski,2,4827975.0,4300000.0,173.0,14.100000000000001
Rebecca Lenkiewicz,1,3827060.0,2600000.0,91.0,7.4
Kit Hesketh-Harvey,1,2484230.0,2600000.0,75.0,7.6
Sam George,1,2276368.0,2600000.0,80.0,7.8
Ana Martínez-Fortún Sánchez-Vizcaíno,1,nan,2600000.0,nan,7.8
Víctor Montoya Casaña,1,nan,2600000.0,nan,7.8
Dan Kay,1,nan,2600000.0,nan,5.2
Tony Giglio,1,nan,2600000.0,nan,5.2
Joe Cross,1,nan,2600000.0,45.0,7.5
Kurt Engfehr,1,nan,2600000.0,45.0,7.5
Robert Mac,1,nan,2600000.0,45.0,7.5
Betty Comden,1,1884537.0,2540000.0,99.0,8.3
Adolph Green,1,1884537.0,2540000.0,99.0,8.3
Dinesh D'Souza,1,33449086.0,2500000.0,26.0,4.8
John Sullivan,1,33449086.0,2500000.0,26.0,4.8
Bill Maher,1,13011160.0,2500000.0,56.0,7.6
Irving Ravetch,1,nan,2500000.0,62.0,7.8
Harriet Frank Jr.,1,nan,2500000.0,62.0,7.8
Tim Tharp,1,6854611.0,2500000.0,82.0,7.1
Kim Krizan,1,5535405.0,2500000.0,77.0,8.1
Barry Crump,1,5205468.0,2500000.0,81.0,7.8
Tearepa Kahi,1,5205468.0,2500000.0,81.0,7.8
Patrick Senécal,1,2014071.0,2500000.0,nan,6.4
Éric Tessier,1,2014071.0,2500000.0,nan,6.4
Denis Johnson,1,1302067.0,2500000.0,76.0,6.9
Elizabeth Cuthrell,1,1302067.0,2500000.0,76.0,6.9
David Urrutia,1,1302067.0,2500000.0,76.0,6.9
Alice Wu,1,1187266.0,2500000.0,65.0,7.4
Monica Ali,1,1095398.0,2500000.0,61.0,6.6
Abderrahmane Sissako,1,1076075.0,2500000.0,92.0,7.1
Kessen Tall,1,1076075.0,2500000.0,92.0,7.1
Bill Muir,1,549632.0,2500000.0,nan,4.8
Isabel Coixet,1,400948.0,2500000.0,57.0,7.4
Nanci Kincaid,1,400948.0,2500000.0,57.0,7.4
Johnny O'Hara,2,122252.0,4500000.0,nan,14.899999999999999
Reed Cowan,1,100280.0,2500000.0,55.0,7.1
Alex Rivera,1,80136.0,2500000.0,59.0,6.0
David Riker,1,80136.0,2500000.0,59.0,6.0
Michael D. Sellers,1,72210.0,2500000.0,54.0,5.6
Wendell Morris,1,72210.0,2500000.0,54.0,5.6
Gastón Gorali,1,nan,2500000.0,38.0,6.4
Patrick Bossé,1,nan,2500000.0,nan,8.4
Jason Miller,2,951056.0,2600000.0,nan,12.5
Seth Savoy,1,931000.0,2500000.0,37.0,5.3
Scott Abramovitch,2,nan,2660000.0,92.0,11.6
Michael Redhill,2,nan,2660000.0,92.0,11.6
Dominic Burns,1,nan,2500000.0,nan,3.1
Lorene Lacey,1,nan,2500000.0,nan,5.3
Steven Palmer Peterson,1,nan,2500000.0,nan,5.3
Adam Aresty,1,nan,2500000.0,46.0,5.1
A.D. Morel,1,nan,2500000.0,nan,3.6
Marc Fehse,1,nan,2500000.0,nan,3.6
Carsten Fehse,1,nan,2500000.0,nan,3.6
Danny Perez,1,nan,2500000.0,56.0,4.9
Ken Brown,1,nan,2500000.0,nan,4.9
Sebastian Brown,1,nan,2500000.0,nan,4.9
Carmen Marrón,1,180237.0,2450000.0,44.0,3.7
Reggie Rock Bythewood,1,5754249.0,2400000.0,84.0,6.9
Ted Dekker,1,1008849.0,2400000.0,34.0,4.9
Antonio Garci,1,nan,2400000.0,nan,6.8
Omar Mustre,1,nan,2400000.0,nan,6.8
Sara Colangelo,1,nan,2400000.0,75.0,6.7
Nadav Lapid,1,nan,2400000.0,75.0,6.7
Rita Merson,1,nan,2400000.0,30.0,5.2
Kenneth Earl,1,nan,2361000.0,nan,6.4
M.M. Musselman,1,nan,2361000.0,nan,6.4
Curtis Kenyon,1,nan,2361000.0,nan,6.4
John Lee Mahin,2,nan,4300000.0,nan,13.9
Jerome Kern,1,nan,2300000.0,nan,6.9
Britt Poulton,1,1744740.0,2300000.0,54.0,6.7
Timur Bekmambetov,1,1744740.0,2300000.0,54.0,6.7
Olga Kharina,1,1744740.0,2300000.0,54.0,6.7
Amy Koppelman,2,328173.0,2700000.0,111.0,12.3
Louis Moulinet,1,59696.0,2300000.0,58.0,6.6
Morgan Simpson,1,29384.0,2300000.0,44.0,5.6
George Richards,1,29384.0,2300000.0,44.0,5.6
Gay Partington Terry,2,nan,2775000.0,nan,11.2
Lloyd Kaufman,3,nan,3225000.0,nan,17.2
Pericles Lewnes,1,792966.0,2300000.0,nan,5.0
Richard B. Phillips,1,nan,2300000.0,63.0,6.6
Megan Griffiths,1,nan,2300000.0,63.0,6.6
Chong Kim,1,nan,2300000.0,63.0,6.6
Thomas M. Disch,1,nan,2300000.0,nan,7.2
Jerry Rees,1,nan,2300000.0,nan,7.2
Lee Blair,1,76408097.0,2280000.0,96.0,7.7
Kevin R. Phipps,1,nan,2250000.0,nan,7.1
Sean Richards,1,nan,2250000.0,nan,7.1
Francine Rivers,1,388390.0,2200000.0,37.0,5.7
Sólveig Anspach,1,nan,2200000.0,nan,6.1
Jean-Luc Gaget,1,nan,2200000.0,nan,6.1
Jacques Kirsner,1,nan,2200000.0,nan,6.1
Tom Edmunds,1,nan,2200000.0,38.0,6.3
Brett Merryman,1,nan,2200000.0,nan,4.2
John Meehan,1,nan,2160000.0,nan,7.3
Marcia Davenport,1,nan,2160000.0,nan,7.3
Rony Ghosh,1,nan,2160000.0,nan,5.7
Roopesh Parekh,1,nan,2160000.0,nan,5.7
Sanjay Tandon,1,nan,2160000.0,nan,5.7
Jon Knautz,1,nan,2150000.0,46.0,5.9
Trevor Matthews,1,nan,2150000.0,46.0,5.9
Patrick White,1,nan,2150000.0,46.0,5.9
Robert E. Sherwood,2,nan,3388000.0,179.0,16.2
MacKinlay Kantor,1,23650000.0,2100000.0,93.0,8.1
Jim Schutze,1,480811.0,2100000.0,45.0,6.9
Roger Pullis,1,480811.0,2100000.0,45.0,6.9
Ingvar Ambjørnsen,1,314729.0,2100000.0,70.0,7.5
Axel Hellstenius,1,314729.0,2100000.0,70.0,7.5
Robert Fontaine,1,3330.0,2100000.0,nan,6.7
Luiso Berdejo,1,nan,2100000.0,71.0,7.4
Paco Plaza,1,nan,2100000.0,71.0,7.4
Glenn Ciano,1,nan,2100000.0,nan,2.7
Rob Rotondo,1,nan,2100000.0,nan,2.7
Teena Booth,1,nan,2100000.0,nan,6.1
Noa Greenberg,1,nan,2100000.0,nan,6.1
Anthony O'Brien,1,nan,2100000.0,nan,4.4
Colin Ossiander,1,nan,2100000.0,nan,4.4
Dan Perri,1,nan,2100000.0,nan,6.7
Johanna Harwood,2,40863800.0,3000000.0,161.0,14.5
Stirling Silliphant,2,nan,2950000.0,126.0,14.8
John Ball,1,nan,2000000.0,76.0,7.9
David Reuben,1,18016290.0,2000000.0,66.0,6.7
David Robert Mitchell,1,14674076.0,2000000.0,83.0,6.8
Bo Burnham,1,13539709.0,2000000.0,87.0,7.4
Harper Lee,1,592237.0,2000000.0,88.0,8.3
Horton Foote,1,592237.0,2000000.0,88.0,8.3
Gustavo Hernández,1,12754783.0,2000000.0,49.0,5.2
Laura Lau,1,12754783.0,2000000.0,49.0,5.2
Oscar Estévez,1,12754783.0,2000000.0,49.0,5.2
Andy Bienen,1,11540607.0,2000000.0,86.0,7.5
Ilya Naishuller,1,9252038.0,2000000.0,51.0,6.7
Will Stewart,1,9252038.0,2000000.0,51.0,6.7
Laura Z. Hobson,1,nan,2000000.0,nan,7.2
Moss Hart,2,nan,3644000.0,nan,15.0
Elia Kazan,1,nan,2000000.0,nan,7.2
Sidney Carroll,1,nan,2000000.0,90.0,8.0
Robert Rossen,1,nan,2000000.0,90.0,8.0
Kevin Tenney,1,7369373.0,2000000.0,45.0,5.7
Sherman Alexie,1,6745362.0,2000000.0,76.0,7.2
Debra Granik,1,6531503.0,2000000.0,90.0,7.1
Anne Rosellini,1,6531503.0,2000000.0,90.0,7.1
Harvey Pekar,1,6010990.0,2000000.0,90.0,7.4
Joyce Brabner,1,6010990.0,2000000.0,90.0,7.4
Sean Baker,1,5904366.0,2000000.0,92.0,7.6
Chris Bergoch,1,5904366.0,2000000.0,92.0,7.6
Steve Armour,1,5802208.0,2000000.0,63.0,6.2
Neil Gordon,1,5133027.0,2000000.0,57.0,6.4
Catherine Hardwicke,2,4604123.0,4000000.0,nan,12.0
Nikki Reed,1,4601043.0,2000000.0,70.0,6.8
Joe Simpson,1,4593598.0,2000000.0,82.0,8.0
Adam Bolt,1,4312735.0,2000000.0,88.0,8.2
Kathryn Scola,1,nan,2000000.0,nan,6.9
Lamar Trotti,1,nan,2000000.0,nan,6.9
Richard Sherman,1,nan,2000000.0,nan,6.9
Miranda July,2,4453796.0,3000000.0,143.0,13.3
Max Joseph,1,3591417.0,2000000.0,46.0,6.2
Meaghan Oppenheimer,1,3591417.0,2000000.0,46.0,6.2
Richard Silverman,1,3591417.0,2000000.0,46.0,6.2
Lee Isaac Chung,1,3110580.0,2000000.0,89.0,7.4
Ashley Smith,1,2583301.0,2000000.0,36.0,5.4
Stacy Mattingly,1,2583301.0,2000000.0,36.0,5.4
Coleman Hough,2,2658472.0,3600000.0,108.0,11.2
Brett Haley,1,2386251.0,2000000.0,65.0,6.9
Marc Basch,1,2386251.0,2000000.0,65.0,6.9
Ari Folman,1,2283849.0,2000000.0,91.0,8.0
Stephen Colbert,1,2072645.0,2000000.0,57.0,5.9
Paul Dinello,1,2072645.0,2000000.0,57.0,5.9
Amy Sedaris,1,2072645.0,2000000.0,57.0,5.9
Rebecca Charles,1,2001124.0,2000000.0,nan,5.4
Craig Clyde,1,1680020.0,2000000.0,nan,3.0
Gary Rogers,1,1680020.0,2000000.0,nan,3.0
Phoebe Gloeckner,1,1477002.0,2000000.0,87.0,6.8
Marielle Heller,1,1477002.0,2000000.0,87.0,6.8
Patrick Wilde,1,1152979.0,2000000.0,nan,7.5
Gregory Weidman,1,nan,2000000.0,48.0,6.2
Geoffrey Tock,1,nan,2000000.0,48.0,6.2
Jonathan Raymond,3,2099390.0,2600000.0,249.0,20.4
Jennifer Kent,1,964413.0,2000000.0,86.0,6.8
Rob Stewart,1,850920.0,2000000.0,59.0,7.9
Rick Shaughnessy,1,634566.0,2000000.0,79.0,7.3
Brian S. Kalata,1,634566.0,2000000.0,79.0,7.3
Andrew Gurland,2,41671056.0,3800000.0,103.0,10.2
Alejandro Landes,1,406473.0,2000000.0,78.0,6.8
Alexis Dos Santos,1,406473.0,2000000.0,78.0,6.8
Pierre Jolivet,1,390659.0,2000000.0,53.0,6.5
Alain Le Henry,1,390659.0,2000000.0,53.0,6.5
David Duchovny,1,388532.0,2000000.0,33.0,6.8
Mitchell Lichtenstein,1,347578.0,2000000.0,57.0,5.4
Laurie Collyer,1,199176.0,2000000.0,66.0,6.6
Jason Robert Brown,1,145427.0,2000000.0,60.0,5.8
Jeffrey Falcon,1,146125.0,2000000.0,nan,6.4
Lance Mungia,1,146125.0,2000000.0,nan,6.4
Michael Dowse,1,120620.0,2000000.0,56.0,7.2
Hue Rhodes,1,102645.0,2000000.0,32.0,5.6
Jugal Hansraj,1,55202.0,2000000.0,nan,4.8
Ryan Gosling,1,45431.0,2000000.0,42.0,5.7
Ted A. Bohus,1,37227.0,2000000.0,36.0,5.1
Danny Provenzano,1,37227.0,2000000.0,36.0,5.1
Nicolás López,1,36336.0,2000000.0,53.0,4.9
Guillermo Amoedo,2,7228627.0,3000000.0,91.0,10.2
Anjul Nigam,1,35312.0,2000000.0,nan,6.7
Paul Quinn,1,35312.0,2000000.0,nan,6.7
Gregory Scott Houghton,1,35312.0,2000000.0,nan,6.7
Ray Griggs,2,464543.0,2400000.0,nan,7.8
Nick Reiner,1,30400.0,2000000.0,47.0,6.2
Matt Elisofon,1,30400.0,2000000.0,47.0,6.2
Noah Buschel,2,20498.0,2175000.0,126.0,12.7
Hunter Richards,1,20361.0,2000000.0,24.0,6.4
Aaron Hann,1,nan,2000000.0,nan,6.0
Mario Miscione,1,nan,2000000.0,nan,6.0
James Watkins,1,7321.0,2000000.0,65.0,6.7
Ralph Ziman,1,7294.0,2000000.0,53.0,7.3
Peter Paige,1,5361.0,2000000.0,31.0,5.7
Arty Nelson,1,3080.0,2000000.0,nan,5.2
Steve Bingen,1,2436.0,2000000.0,nan,5.6
Paul Bunnell,1,2436.0,2000000.0,nan,5.6
Mark D. Murphy,1,2436.0,2000000.0,nan,5.6
The Vicious Brothers,1,nan,2000000.0,33.0,6.1
Stuart Ortiz,1,nan,2000000.0,33.0,6.1
Colin Minihan,1,nan,2000000.0,33.0,6.1
John Simpson,1,1100.0,2000000.0,55.0,6.3
Conor McMahon,1,nan,2000000.0,nan,5.7
David O'Brien,1,nan,2000000.0,nan,5.7
Tim Ogletree,1,nan,2000000.0,9.0,3.6
Mickey Rose,1,nan,2000000.0,67.0,6.9
Patrick Wehe Mahoney,1,nan,2000000.0,nan,5.4
Dave Payne,1,nan,2000000.0,nan,4.8
John J. Budion,1,nan,2000000.0,nan,6.2
John Monk Saunders,1,nan,2000000.0,nan,7.6
Hope Loring,1,nan,2000000.0,nan,7.6
Louis D. Lighton,1,nan,2000000.0,nan,7.6
Sherwood King,1,nan,2000000.0,nan,7.5
Orson Welles,1,nan,2000000.0,nan,7.5
William Castle,1,nan,2000000.0,nan,7.5
Dave Cole,1,nan,2000000.0,nan,5.6
Imtiaz Ali,1,529136.0,2000000.0,40.0,7.6
Chris Millis,1,nan,2000000.0,nan,6.1
Stanley Niss,1,nan,2000000.0,nan,6.2
Melvin Frank,2,nan,3300000.0,nan,13.7
Michael Pertwee,1,nan,2000000.0,nan,6.8
Burt Shevelove,1,nan,2000000.0,nan,6.8
Sebastian Doggart,1,nan,2000000.0,nan,5.9
Devin Ratray,1,nan,2000000.0,nan,5.9
Michael Hornburg,1,nan,2000000.0,31.0,4.4
Derick Martini,1,nan,2000000.0,31.0,4.4
Russell Friedenberg,1,nan,2000000.0,nan,3.5
Gabe Burnstein,1,nan,2000000.0,nan,3.4
David Anderson,1,nan,2000000.0,nan,3.4
Dan Benamor,1,nan,2000000.0,nan,4.4
Matt Williams,1,nan,2000000.0,nan,4.4
Tarell Alvin McCraney,2,nan,3500000.0,177.0,13.600000000000001
Thadd Turner,1,nan,2000000.0,nan,5.7
Agam Darshi,1,nan,2000000.0,53.0,6.2
Frank Ray Perilli,1,nan,2000000.0,62.0,6.1
Scott Wiper (based on characters created by),1,nan,1950000.0,nan,5.2
Declan O'Brien (based on characters created by),1,nan,1950000.0,nan,5.2
Neal Jimenez,1,4600000.0,1900000.0,73.0,6.9
Julia Baird,1,1457248.0,1900000.0,67.0,7.1
Jamal Hill,1,478595.0,1900000.0,nan,6.6
Richard Ayoade,1,467602.0,1900000.0,76.0,7.3
Joe Dunthorne,1,467602.0,1900000.0,76.0,7.3
Ruben Östlund,2,3004694.0,3400000.0,146.0,14.2
Amit Aryan,1,222098.0,1900000.0,nan,6.3
Remo D'Souza,1,222098.0,1900000.0,nan,6.3
Tushar Hiranandani,2,nan,2350000.0,nan,11.8
Marina Diaby,1,nan,1900000.0,nan,nan
Christian Piers Betley,1,nan,1900000.0,27.0,3.5
Roger Christian,1,nan,1900000.0,27.0,3.5
Vijay Chandar,1,nan,1900000.0,nan,4.7
Stephen Dunn,1,42166.0,1850000.0,81.0,7.0
Benh Zeitlin,1,12795746.0,1800000.0,86.0,7.2
Keaton Gover,1,nan,1800000.0,nan,nan
Jack Snelling,1,nan,1800000.0,nan,nan
John William Corrington,1,8844595.0,1800000.0,40.0,5.4
Leonard Freeman,1,11000000.0,1800000.0,62.0,7.0
Mel Goldberg,1,11000000.0,1800000.0,62.0,7.0
Maggie Greenwald,1,3059834.0,1800000.0,63.0,7.3
Carolyn S. Briggs,1,841733.0,1800000.0,74.0,6.2
Tim Metcalfe,1,841733.0,1800000.0,74.0,6.2
Chuck Hughes,1,nan,1800000.0,nan,6.0
Sean McConville,1,nan,1800000.0,nan,4.6
Corey Grant,1,13546.0,1800000.0,nan,5.0
Sydney Roper,1,nan,1800000.0,nan,3.4
Rudy Thauberger,1,nan,1800000.0,nan,3.4
Richard Boddington,1,nan,1800000.0,nan,4.5
Ted Beck,1,nan,1800000.0,nan,3.4
Veikko Huovinen,1,nan,1784448.0,nan,5.9
Markku Pölönen,1,nan,1784448.0,nan,5.9
Paula Vesala,1,nan,1784448.0,nan,5.9
Kitty Green,1,1100313.0,1780000.0,79.0,6.4
Lucky McKee,1,150277.0,1750000.0,58.0,6.6
Adam Rockoff,1,93051.0,1750000.0,27.0,6.2
Meir Zarchi,1,93051.0,1750000.0,27.0,6.2
Kevin Brown,1,nan,1750000.0,nan,5.1
Pamela Tola,1,nan,1705215.0,nan,nan
Andre Dubus,1,35930604.0,1700000.0,86.0,7.4
Ritesh Batra,1,4235151.0,1700000.0,76.0,7.8
Vasan Bala,1,4235151.0,1700000.0,76.0,7.8
Brad J. Silverman,1,2507201.0,1700000.0,39.0,6.0
Brandon Rice,1,2507201.0,1700000.0,39.0,6.0
James Killian,1,2507201.0,1700000.0,39.0,6.0
Mark Illsley,1,1955933.0,1700000.0,62.0,6.3
Phil Reeves,1,1955933.0,1700000.0,62.0,6.3
Helen Cross,1,1000915.0,1700000.0,82.0,6.7
Michael Wynne,1,1000915.0,1700000.0,82.0,6.7
Sally Potter,1,396760.0,1700000.0,55.0,6.4
Mitzi Peirone,1,nan,1660000.0,60.0,5.3
Daniel Taradash,1,36416.0,1650000.0,85.0,7.6
George S. Kaufman,1,nan,1644000.0,nan,7.8
Jenny Dahlström,1,nan,1606057.0,nan,nan
Jalmari Finne,1,nan,1606057.0,nan,nan
John Lundsten,1,nan,1606057.0,nan,nan
Anthony D.,1,6033999.0,1600000.0,nan,4.9
Laurence Stallings,2,nan,1845000.0,nan,15.100000000000001
Julius Lewis,1,2595644.0,1600000.0,nan,3.7
Christie Taylor,1,2595644.0,1600000.0,nan,3.7
Romesh Sharma,1,129319.0,1600000.0,nan,4.6
Mark Hammer,1,18612.0,1600000.0,45.0,6.3
Adam Goldberg,1,3264.0,1600000.0,39.0,5.1
Nicolás Casariego,1,69136.0,1587000.0,45.0,5.4
Jaime Marques,1,69136.0,1587000.0,45.0,5.4
Robert Hardy Andrews,1,nan,1577000.0,nan,5.8
Christopher Knopf,1,nan,1577000.0,nan,5.8
Randy Pearlstein,1,21158188.0,1500000.0,56.0,5.6
Adrienne Shelly,1,19074800.0,1500000.0,75.0,7.0
Mark DiSalle,1,14697005.0,1500000.0,33.0,6.4
Glenn A. Bruce,1,14697005.0,1500000.0,33.0,6.4
Christopher Cosby,1,11806119.0,1500000.0,29.0,6.8
Mel Friedman,1,11806119.0,1500000.0,29.0,6.8
Lewis R. Foster,1,144738.0,1500000.0,73.0,8.1
Myles Connolly,1,144738.0,1500000.0,73.0,8.1
Larry Clark,1,7412216.0,1500000.0,63.0,7.0
Heather Juergensen,1,7025722.0,1500000.0,72.0,6.6
Jennifer Westfeldt,1,7025722.0,1500000.0,72.0,6.6
John Palmer,1,nan,1500000.0,79.0,7.5
Hilary St George Saunders,1,nan,1500000.0,79.0,7.5
Jake McEntire,1,6424420.0,1500000.0,35.0,5.9
Jason Baumgardner,1,6424420.0,1500000.0,35.0,5.9
Chris Dowling,1,6424420.0,1500000.0,35.0,5.9
Maggie Carey,1,3491669.0,1500000.0,61.0,5.8
Alison Bagnall,1,2375097.0,1500000.0,68.0,7.4
Alex Cox,1,129000.0,1500000.0,82.0,6.9
John Nodilo,1,510957.0,1500000.0,42.0,4.0
Simeon Rice,1,510957.0,1500000.0,42.0,4.0
Stewart O'Nan,1,402858.0,1500000.0,67.0,6.8
Stephen Gevedon,1,378176.0,1500000.0,58.0,6.4
Qasim Basir,1,369129.0,1500000.0,48.0,6.6
Jeff Garlin,1,194568.0,1500000.0,60.0,6.1
Adam Green,1,175281.0,1500000.0,57.0,5.6
J Blakeson,1,166980.0,1500000.0,65.0,6.7
Shelley Garrett,1,139084.0,1500000.0,26.0,4.0
Adam Carolla,2,556760.0,2350000.0,107.0,13.1
Kevin Hench,2,556760.0,2350000.0,107.0,13.1
Michael Rohatyn,1,75828.0,1500000.0,74.0,6.1
James Mottern,1,52429.0,1500000.0,61.0,6.6
Tony Burgess,1,3865.0,1500000.0,54.0,6.5
Jaime Zevallos,1,2105.0,1500000.0,nan,5.6
Michael A. Nickles,1,264.0,1500000.0,nan,4.3
Gerard Johnstone,1,nan,1500000.0,76.0,6.7
Ahsan Rahim,1,nan,1500000.0,nan,7.0
Ali Zafar,1,nan,1500000.0,nan,7.0
Danyal Zafar,1,nan,1500000.0,nan,7.0
Nae Caranfil,1,nan,1500000.0,47.0,6.7
David Ray,1,nan,1500000.0,nan,6.5
Carolyn Allain,1,nan,1500000.0,nan,6.5
Sara Snow,1,nan,1500000.0,nan,6.5
Brent Dawes,1,nan,1500000.0,nan,3.4
Edward James,1,nan,1500000.0,nan,3.4
Kurt Kelly,1,nan,1500000.0,nan,3.4
David Rodriguez,1,nan,1500000.0,nan,6.1
Matthew Campagna,1,nan,1500000.0,nan,2.8
Tara Subkoff,1,nan,1500000.0,42.0,3.0
Shivam Bajpai,1,nan,1500000.0,nan,8.0
Harsh Beniwal,1,nan,1500000.0,nan,8.0
Louis L'Amour,1,nan,1455000.0,51.0,5.6
James Griffith,1,nan,1455000.0,51.0,5.6
Hal Hopper,1,nan,1455000.0,51.0,5.6
Aleksi Bardy,1,nan,1450175.0,nan,4.0
Deniz Gamze Ergüven,1,845464.0,1400000.0,83.0,7.6
Alice Winocour,1,845464.0,1400000.0,83.0,7.6
Juan Pablo Domenech,1,304124.0,1400000.0,77.0,6.7
Lucrecia Martel,1,304124.0,1400000.0,77.0,6.7
Boris Rodriguez,1,1632.0,1400000.0,57.0,5.7
Jonathan Rannells,1,1632.0,1400000.0,57.0,5.7
Daryn Tufts,1,nan,1400000.0,nan,5.7
Benji Smith,1,nan,1400000.0,nan,5.7
Sadyk Sher-Niyaz,1,nan,1400000.0,nan,6.4
Bakytbek Turdubaev,1,nan,1400000.0,nan,6.4
Bakyt Turdubayev,1,nan,1400000.0,nan,6.4
David Oman,1,nan,1400000.0,nan,5.5
Jim Vines,1,nan,1400000.0,nan,5.5
William Dozier,1,nan,1377800.0,71.0,6.5
Américo Paredes,1,nan,1305000.0,nan,7.0
Victor Villaseñor,1,nan,1305000.0,nan,7.0
Robert M. Young,2,nan,1605000.0,nan,14.9
Robert E. Hopkins,1,nan,1300000.0,nan,7.2
Herman J. Mankiewicz,1,nan,1300000.0,nan,7.2
Steve Buscemi,1,749741.0,1300000.0,76.0,7.1
Ham Tran,1,641039.0,1300000.0,70.0,7.2
Lam Nguyen,1,641039.0,1300000.0,70.0,7.2
Don Caron,1,367098.0,1300000.0,53.0,6.5
Rich Cowan,1,367098.0,1300000.0,53.0,6.5
Frank Swoboda,1,367098.0,1300000.0,53.0,6.5
Beirne Lay Jr.,1,nan,1300000.0,nan,6.9
Norman Panama,1,nan,1300000.0,nan,6.9
Mateusz Pacewicz,1,127240.0,1300000.0,77.0,7.7
Arjun Sablok,1,111551.0,1300000.0,nan,3.2
Jonathan Kesselman,1,82157.0,1300000.0,41.0,6.1
Eddy Terstall,1,4055.0,1300000.0,59.0,7.8
David Jung,1,nan,1300000.0,34.0,5.7
Jamieson Stern,1,nan,1300000.0,nan,5.1
Tyler Oliver,1,nan,1300000.0,nan,5.1
Ben Youcef,1,nan,1300000.0,nan,5.6
Giovanni Zelko,1,nan,1300000.0,nan,5.6
Daphne Du Maurier,1,nan,1288000.0,86.0,8.1
Joan Harrison,1,nan,1288000.0,86.0,8.1
Charles R. Jackson,1,nan,1250000.0,nan,7.9
Charles Brackett,2,nan,2500000.0,nan,14.9
Parnell Hall,1,4654423.0,1250000.0,57.0,5.6
Shepard Abbott,1,4654423.0,1250000.0,57.0,5.6
Christopher Curry,1,4654423.0,1250000.0,57.0,5.6
Justin Simien,1,4404154.0,1250000.0,79.0,6.2
Michael D. Olmos,1,2850357.0,1250000.0,57.0,5.6
Walter Reisch,1,nan,1250000.0,70.0,7.0
Richard L. Breen,1,nan,1250000.0,70.0,7.0
Gergö Elekes,1,nan,1250000.0,nan,4.9
József Gallai,1,nan,1250000.0,nan,4.9
Bence Kovács,1,nan,1250000.0,nan,4.9
Richard Llewellyn,1,nan,1250000.0,88.0,7.7
Bill Gunn,1,nan,1250000.0,52.0,4.5
Vinnie LaRocksta,1,nan,1250000.0,52.0,4.5
Richard O'Brien,1,112892319.0,1200000.0,65.0,7.4
Jim Sharman,1,112892319.0,1200000.0,65.0,7.4
Steven Soderbergh,1,24741667.0,1200000.0,86.0,7.2
Sabrina Dhawan,1,13885966.0,1200000.0,77.0,7.3
Raymond Chandler,1,26597.0,1200000.0,88.0,7.9
Czenzi Ormonde,1,26597.0,1200000.0,88.0,7.9
Whitfield Cook,1,26597.0,1200000.0,88.0,7.9
John Michael Hayes,1,nan,1200000.0,74.0,7.0
Jack Trevor Story,1,nan,1200000.0,74.0,7.0
Brian Brightly,1,2861020.0,1200000.0,nan,5.9
Brian Peterson,1,2205627.0,1200000.0,39.0,6.7
Jamie Babbit,1,2205627.0,1200000.0,39.0,6.7
Maxwell Anderson,1,nan,1200000.0,83.0,7.4
Angus MacPhail,1,nan,1200000.0,83.0,7.4
Maurice Maeterlinck,1,nan,1200000.0,nan,6.2
Ernest Pascal,1,nan,1200000.0,nan,6.2
Walter Bullock,1,nan,1200000.0,nan,6.2
Donald Miller,1,595018.0,1200000.0,48.0,5.8
Ben Pearson,1,595018.0,1200000.0,48.0,5.8
Steve Taylor,1,595018.0,1200000.0,48.0,5.8
Sanjeev Gupta,1,nan,1200000.0,nan,6.5
Patricia Kearns,1,26608.0,1200000.0,66.0,7.3
Nancy Guerin,1,26608.0,1200000.0,66.0,7.3
Léa Pool,1,26608.0,1200000.0,66.0,7.3
