Writer,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating
Steven Zaillian,11,nan,814000000.0,805.0,81.7
Charles Brandt,1,nan,159000000.0,94.0,7.8
Katie Dippold,3,272973420.0,242750000.0,nan,17.4
Matthew Sand,2,99556410.0,206000000.0,102.0,13.399999999999999
David Barstow,1,61433527.0,156000000.0,68.0,7.1
Patrick Lussier,3,133504756.0,233000000.0,108.0,16.6
Steven S. DeKnight,1,59874525.0,155000000.0,44.0,5.6
Kira Snyder,1,59874525.0,155000000.0,44.0,5.6
Oliver Stone,16,727074044.0,684000000.0,926.0,112.60000000000001
Christopher Kyle,2,69466157.0,245000000.0,98.0,12.3
Randall Wallace,5,500687372.0,340500000.0,272.0,33.9
Greta Gerwig,5,904542725.0,221000000.0,437.0,37.5
Noah Baumbach,9,nan,463500000.0,695.0,64.6
John Rogers,4,386214059.0,294000000.0,185.0,24.5
Jennifer Lee,3,978805195.0,403000000.0,192.0,18.5
Chris Buck,3,937194281.0,400000000.0,203.0,20.9
Allan Heinberg,1,412845172.0,150000000.0,76.0,7.4
Zack Snyder,5,nan,485000000.0,266.0,33.0
Jason Fuchs,3,609255335.0,395000000.0,161.0,19.6
Byron Howard,2,437361870.0,300000000.0,153.0,15.2
Jared Bush,3,686118914.0,450000000.0,234.0,22.8
Michael Goldenberg,2,393303056.0,240000000.0,133.0,15.0
Akiva Goldsman,15,1595656593.0,1265000000.0,717.0,95.7
Richard Matheson,6,387131344.0,282100000.0,296.0,40.2
Vy Vincent Ngo,1,227946274.0,150000000.0,49.0,6.4
Vince Gilligan,2,238439640.0,165000000.0,94.0,11.5
Destin Daniel Cretton,3,317931212.0,195000000.0,171.0,21.3
Andrew Lanham,3,317931212.0,195000000.0,171.0,21.3
Roald Dahl,8,nan,492600000.0,nan,nan
John August,8,793129714.0,697000000.0,494.0,51.3
Jan Pinkava,1,206445654.0,150000000.0,96.0,8.1
Jim Capobianco,1,206445654.0,150000000.0,96.0,8.1
Don Payne,3,335482657.0,300000000.0,152.0,17.8
Eric Darnell,3,589997953.0,370000000.0,178.0,20.299999999999997
Tom McGrath,1,180010950.0,150000000.0,61.0,6.6
David Benioff,7,447781170.0,503500000.0,380.0,48.900000000000006
Skip Woods,7,466891085.0,526000000.0,251.0,42.5
Robert Ben Garant,9,nan,539000000.0,nan,51.699999999999996
Thomas Lennon,6,632189879.0,380000000.0,241.0,34.8
