Actor,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating
Gordon MacRae,1,nan,3380000.0,nan,6.6
Cameron Mitchell,1,nan,3380000.0,nan,6.6
Melissa Benoist,1,13092000.0,3300000.0,89.0,8.5
Manny Perez,1,8070537.0,3300000.0,47.0,7.1
John Simm,1,104257.0,3300000.0,53.0,7.1
Lorraine Pilkington,1,104257.0,3300000.0,53.0,7.1
Shaun Parkes,1,104257.0,3300000.0,53.0,7.1
June Allyson,1,nan,3300000.0,nan,6.1
Joan Collins,1,nan,3300000.0,nan,6.1
Dolores Gray,1,nan,3300000.0,nan,6.1
Peter Billingsley,1,20778141.0,3250000.0,77.0,7.9
Melinda Dillon,1,20778141.0,3250000.0,77.0,7.9
Darren McGavin,1,20778141.0,3250000.0,77.0,7.9
Perry King,1,nan,3250000.0,49.0,6.5
Merrie Lynn Ross,1,nan,3250000.0,49.0,6.5
Timothy Van Patten,1,nan,3250000.0,49.0,6.5
Slim Baccar,1,nan,3250000.0,nan,nan
Nicholas Woodeson,1,12044.0,3250000.0,55.0,6.3
John Cassavetes,1,nan,3200000.0,96.0,8.0
Ruth Gordon,1,nan,3200000.0,96.0,8.0
Jermaine Fowler,1,17493096.0,3200000.0,80.0,6.9
Guilied Lopez,1,6529624.0,3200000.0,87.0,7.4
Orlando Tobón,1,6529624.0,3200000.0,87.0,7.4
Navi Rawat,1,56131.0,3200000.0,43.0,6.2
Balthazar Getty,1,56131.0,3200000.0,43.0,6.2
Donna Reed,1,1483643.0,3180000.0,89.0,8.6
Lionel Barrymore,3,nan,5382000.0,nan,23.0
Caleb Landry Jones,1,nan,3100000.0,55.0,5.7
Lisa Berry,1,nan,3100000.0,55.0,5.7
Micah Sloat,2,192671717.0,3450000.0,121.0,12.0
Molly Ephraim,1,84752907.0,3000000.0,53.0,5.7
T.C. Stallings,1,67790117.0,3000000.0,26.0,6.4
Karen Abercrombie,1,67790117.0,3000000.0,26.0,6.4
Max Burkholder,1,64473115.0,3000000.0,41.0,5.7
Gert Fröbe,1,51081062.0,3000000.0,87.0,7.7
Honor Blackman,1,51081062.0,3000000.0,87.0,7.7
Juliet Rylance,1,48086903.0,3000000.0,53.0,6.8
Steve Harvey,1,38182790.0,3000000.0,73.0,6.8
John Randolph,1,29800000.0,3000000.0,83.0,7.7
Jack Kehoe,1,29800000.0,3000000.0,83.0,7.7
Ian Bannen,1,24792251.0,3000000.0,71.0,7.3
Wendy Makkena,1,23144499.0,3000000.0,nan,5.3
Marilyn Manson,1,21576018.0,3000000.0,72.0,8.0
Denholm Elliott,1,20966644.0,3000000.0,83.0,7.2
Georges Adet,1,20123742.0,3000000.0,89.0,7.7
Thom Mathews,1,19472057.0,3000000.0,30.0,6.0
Jennifer Cooke,1,19472057.0,3000000.0,30.0,6.0
David Kagen,1,19472057.0,3000000.0,30.0,6.0
Nancy O'Dell,1,19184820.0,3000000.0,40.0,5.4
Paul Keeley,1,19184820.0,3000000.0,40.0,5.4
Fred MacMurray,1,18600000.0,3000000.0,94.0,8.3
Shuzhen Zhao,1,17695781.0,3000000.0,89.0,7.5
X Mayo,1,17695781.0,3000000.0,89.0,7.5
Burl Ives,1,nan,3000000.0,84.0,7.9
James Franciscus,1,18999718.0,3000000.0,46.0,6.0
Kim Hunter,3,nan,7300000.0,212.0,20.200000000000003
Maurice Evans,1,18999718.0,3000000.0,46.0,6.0
Rica Matsumoto,1,17052128.0,3000000.0,nan,5.8
Douglas Barr,1,15369573.0,3000000.0,38.0,5.3
Royal Dano,1,15369573.0,3000000.0,38.0,5.3
Ariana Richards,1,15369573.0,3000000.0,38.0,5.3
Barbara Harris,1,nan,3000000.0,79.0,6.8
Lila Kedrova,1,nan,3000000.0,55.0,6.6
Melanie Vallejo,1,11977130.0,3000000.0,67.0,7.5
Steve Danielsen,1,11977130.0,3000000.0,67.0,7.5
Lauryn Hill,1,11718595.0,3000000.0,84.0,7.2
Sheila E.,1,11052713.0,3000000.0,37.0,6.4
Joseph Simmons,1,11052713.0,3000000.0,37.0,6.4
Darryl McDaniels,1,11052713.0,3000000.0,37.0,6.4
Paula Abdul,1,10691091.0,3000000.0,39.0,5.8
Joe Gatto,1,10691091.0,3000000.0,39.0,5.8
James Murray,1,10691091.0,3000000.0,39.0,5.8
Arthur Kennedy,1,nan,3000000.0,nan,7.7
Richard Widmark,1,nan,3000000.0,60.0,8.3
Nas,1,9639390.0,3000000.0,36.0,6.2
Taral Hicks,1,9639390.0,3000000.0,36.0,6.2
Deon Richmond,2,9192351.0,4500000.0,nan,10.899999999999999
Guy Torry,1,9017070.0,3000000.0,nan,5.3
Joanne Dru,2,nan,4600000.0,183.0,15.0
Julie Delpy,4,19889642.0,9000000.0,311.0,30.5
Seamus Davey-Fitzpatrick,1,8114627.0,3000000.0,94.0,7.9
Kim Darby,1,7888703.0,3000000.0,8.0,3.4
John Astin,1,7888703.0,3000000.0,8.0,3.4
Andrea Roth,1,7712114.0,3000000.0,29.0,6.3
Juan Fernández,1,7712114.0,3000000.0,29.0,6.3
James Le Gros,1,7282851.0,3000000.0,42.0,6.4
Reggie Bannister,1,7282851.0,3000000.0,42.0,6.4
Angus Scrimm,1,7282851.0,3000000.0,42.0,6.4
Sam Sorbo,1,7233471.0,3000000.0,nan,4.5
Daniel Roebuck,1,7233471.0,3000000.0,nan,4.5
Mo'Nique,1,7061128.0,3000000.0,36.0,3.3
Kendra C. Johnson,1,7061128.0,3000000.0,36.0,3.3
Jimmy Jean-Louis,1,7061128.0,3000000.0,36.0,3.3
T.D. Jakes,1,6879730.0,3000000.0,55.0,6.6
Michael Boatman,2,6893674.0,3989000.0,nan,11.2
Lupe Ontiveros,2,6908865.0,3250000.0,147.0,13.5
Ingrid Oliu,1,5853194.0,3000000.0,71.0,6.9
Mark Lee,1,5732587.0,3000000.0,65.0,7.4
Bill Kerr,1,5732587.0,3000000.0,65.0,7.4
Stephen Atherholt,1,5644104.0,3000000.0,nan,7.4
Jonathan Blair,1,5644104.0,3000000.0,nan,7.4
Rachel Day Hughes,1,5644104.0,3000000.0,nan,7.4
Lisa Ray,1,5529144.0,3000000.0,77.0,7.7
John Abraham,1,5529144.0,3000000.0,77.0,7.7
Seema Biswas,1,5529144.0,3000000.0,77.0,7.7
Jimmie Fails,1,4515719.0,3000000.0,83.0,7.3
Rob Morgan,1,4515719.0,3000000.0,83.0,7.3
Linda Bassett,1,4177818.0,3000000.0,74.0,6.9
Jordan Routledge,1,4177818.0,3000000.0,74.0,6.9
Brian Van Holt,1,4159986.0,3000000.0,10.0,4.4
Jonathan Abrahams,1,4159986.0,3000000.0,10.0,4.4
Mickey Sumner,1,4069826.0,3000000.0,82.0,7.4
Gene Wilder,4,224479654.0,10400000.0,289.0,30.2
Jack Albertson,1,573368.0,3000000.0,67.0,7.8
Peter Ostrum,1,573368.0,3000000.0,67.0,7.8
Paula Marshall,1,3902679.0,3000000.0,nan,5.4
Andy Comeau,1,3602884.0,3000000.0,15.0,5.4
Omar Chaparro,1,3127773.0,3000000.0,28.0,4.8
Eric Roberts,5,nan,5700000.0,nan,18.4
Presley Chweneyagae,1,2912606.0,3000000.0,70.0,7.2
Mothusi Magano,1,2912606.0,3000000.0,70.0,7.2
Israel Matseke-Zulu,1,2912606.0,3000000.0,70.0,7.2
Tanner Maguire,1,2848578.0,3000000.0,31.0,6.2
Jeffrey Johnson,1,2848578.0,3000000.0,31.0,6.2
Robyn Lively,1,2848578.0,3000000.0,31.0,6.2
Jane Adams,1,2982011.0,3000000.0,81.0,7.7
Yoo Ji-tae,1,2427598.0,3000000.0,77.0,8.4
Zahn McClarnon,1,2387730.0,3000000.0,23.0,4.2
Martin Kove,1,2387730.0,3000000.0,23.0,4.2
Joe Howard,1,2255000.0,3000000.0,51.0,6.5
Matthew Brent,1,2255000.0,3000000.0,51.0,6.5
Laith Nakli,1,1803064.0,3000000.0,57.0,6.2
Elias McConnell,1,1266955.0,3000000.0,70.0,7.1
Eric Deulen,1,1266955.0,3000000.0,70.0,7.1
Lio Tipton,2,1027067.0,4600000.0,112.0,12.1
Pasha Ebrahimi,1,703372.0,3000000.0,55.0,6.1
Robb Wells,1,703372.0,3000000.0,55.0,6.1
Stan Ivar,1,nan,3000000.0,nan,4.4
Wendy Schaal,2,nan,3500000.0,nan,7.800000000000001
Lyman Ward,1,nan,3000000.0,nan,4.4
Katie Jarvis,1,374675.0,3000000.0,81.0,7.3
Kierston Wareing,1,374675.0,3000000.0,81.0,7.3
Jay Jablonski,1,351416.0,3000000.0,26.0,5.7
Cerina Vincent,1,351416.0,3000000.0,26.0,5.7
John Kapelos,1,351416.0,3000000.0,26.0,5.7
Erin Cottrell,1,252726.0,3000000.0,nan,6.8
Logan Bartholomew,1,252726.0,3000000.0,nan,6.8
Timothy Balme,1,242623.0,3000000.0,54.0,7.5
Diana Peñalver,1,242623.0,3000000.0,54.0,7.5
Elizabeth Moody,1,242623.0,3000000.0,54.0,7.5
Ahmed Sylla,1,nan,3000000.0,nan,6.9
Alice Belaïdi,1,nan,3000000.0,nan,6.9
Kévin Razy,1,nan,3000000.0,nan,6.9
Nikki Reed,2,4739831.0,5000000.0,nan,10.899999999999999
Tim Heidecker,2,529624.0,3500000.0,85.0,11.3
Eric Wareheim,1,201436.0,3000000.0,40.0,5.3
Philip Baker Hall,1,222559.0,3000000.0,78.0,7.1
Monica Vitti,1,nan,3000000.0,nan,7.7
Alain Delon,1,nan,3000000.0,nan,7.7
Kate Connor,1,78948.0,3000000.0,47.0,5.8
Lyndsy Fonseca,1,78948.0,3000000.0,47.0,5.8
Richard V. Licata,1,nan,3000000.0,45.0,6.6
Marcell Rosenblatt,1,nan,3000000.0,45.0,6.6
Georgia King,1,5073.0,3000000.0,40.0,5.7
Paget Brewster,2,nan,3300000.0,nan,6.9
Neil Barton,1,4655.0,3000000.0,32.0,3.2
Eric Hoffman,1,4655.0,3000000.0,32.0,3.2
Cody Horn,1,nan,3000000.0,nan,5.3
Nicholas Turturro,1,nan,3000000.0,nan,4.4
Gary Valentine,1,nan,3000000.0,nan,4.4
Frank Vincent,2,nan,5000000.0,nan,11.0
Kathrine Narducci,1,nan,3000000.0,nan,5.9
Dean Geyer,1,nan,3000000.0,nan,5.7
Alex Meraz,1,nan,3000000.0,nan,5.7
Todd Duffee,1,nan,3000000.0,nan,5.7
Heather Roop,1,nan,3000000.0,nan,3.9
Ashley Martin,1,nan,3000000.0,nan,2.5
Austin Scott,1,nan,3000000.0,nan,2.5
Heidi Kramer,1,nan,3000000.0,nan,2.5
Shantel VanSanten,1,nan,3000000.0,nan,4.6
Julian Morris,2,nan,4000000.0,nan,10.399999999999999
Keenan Wynn,1,nan,3000000.0,86.0,7.3
Michael Bradford,1,nan,3000000.0,nan,6.1
Roger Kendall,1,nan,3000000.0,nan,6.1
Alessandro Gassmann,1,nan,3000000.0,nan,5.3
Jeanine Bartel,1,nan,3000000.0,nan,5.3
Joe Urla,1,nan,3000000.0,nan,5.3
Olivia Rose Keegan,1,nan,3000000.0,33.0,4.3
Sherilyn Fenn,1,nan,3000000.0,nan,3.9
Ron Carlson,1,nan,3000000.0,nan,3.9
Caitlin Keats,2,nan,3625000.0,nan,8.2
Ray Bolger,2,nan,5708000.0,157.0,15.1
John Hodiak,1,nan,2931000.0,65.0,7.0
Glenn Ford,1,nan,2900000.0,nan,7.1
Bette Davis,1,nan,2900000.0,nan,7.1
Hope Lange,1,nan,2900000.0,nan,7.1
Dyan Cannon,1,3127472.0,2900000.0,61.0,6.5
Joseph Bologna,1,3127472.0,2900000.0,61.0,6.5
Tempestt Bledsoe,1,101270.0,2900000.0,58.0,6.3
Morgan Spurlock,2,11637693.0,2965000.0,131.0,13.5
Maeve Dermody,1,nan,2900000.0,49.0,6.0
Marshall Napier,1,nan,2900000.0,49.0,6.0
Philippe Nahon,1,3681066.0,2850000.0,42.0,6.7
Diana Barrows,1,nan,2800000.0,nan,8.0
John Carl Buechler,1,nan,2800000.0,nan,8.0
Elizabeth Kaitan,1,nan,2800000.0,nan,8.0
Patrick Schwarzenegger,2,10492064.0,5300000.0,75.0,11.899999999999999
Florence Hartigan,1,3600146.0,2800000.0,33.0,5.3
Luke Spencer Roberts,1,3600146.0,2800000.0,33.0,5.3
Chelsea Lopez,1,3600146.0,2800000.0,33.0,5.3
Frank Morgan,2,nan,3527000.0,nan,nan
Michelle Morgan,1,958961.0,2750000.0,66.0,5.5
Joshua Close,1,958961.0,2750000.0,66.0,5.5
Shawn Roberts,1,958961.0,2750000.0,66.0,5.5
Bulle Ogier,1,nan,2750000.0,nan,6.1
Manuel Blanc,1,nan,2750000.0,nan,6.1
Kelly Reno,1,37799643.0,2700000.0,84.0,7.4
Patricia Richardson,1,9161691.0,2700000.0,77.0,7.0
Christine Dunford,1,9161691.0,2700000.0,77.0,7.0
Angela Fontana,1,nan,2700000.0,80.0,6.9
Marianna Fontana,1,nan,2700000.0,80.0,6.9
Antonia Truppo,1,nan,2700000.0,80.0,6.9
Casper Christensen,1,nan,2700000.0,nan,5.7
Frank Hvam,1,nan,2700000.0,nan,5.7
Ali Kazim,1,nan,2700000.0,nan,5.7
Elizabeth Allen,1,nan,2686000.0,64.0,6.7
Mary Kay Place,3,1325038.0,4010000.0,185.0,20.2
Jake Lacy,2,3460129.0,3660000.0,162.0,13.4
Estelle Parsons,1,336166.0,2660000.0,86.0,6.7
Henri Garcin,1,nan,2650000.0,nan,7.0
Ingeborg Elzevier,1,nan,2650000.0,nan,7.0
Khaldoun Elmecky,1,nan,2650000.0,nan,7.0
Irene Dunne,1,nan,2627000.0,nan,6.9
Cleavon Little,1,119616663.0,2600000.0,73.0,7.7
Slim Pickens,1,119616663.0,2600000.0,73.0,7.7
Agata Kulesza,1,3827060.0,2600000.0,91.0,7.4
Agata Trzebuchowska,1,3827060.0,2600000.0,91.0,7.4
Dawid Ogrodnik,1,3827060.0,2600000.0,91.0,7.4
James Wilby,1,2484230.0,2600000.0,75.0,7.6
Laird Hamilton,1,2276368.0,2600000.0,80.0,7.8
Darrick Doerner,1,2276368.0,2600000.0,80.0,7.8
Dave Kalama,1,2276368.0,2600000.0,80.0,7.8
Karra Elejalde,2,nan,3800000.0,nan,nan
Juan Inciarte,1,nan,2600000.0,nan,nan
Nacho Vigalondo,1,nan,2600000.0,nan,nan
Biaffra,1,nan,2600000.0,nan,nan
Laura Gascó Moreno,1,nan,2600000.0,nan,7.8
Borja Vázquez Real,1,nan,2600000.0,nan,7.8
Josh Randall,1,nan,2600000.0,nan,5.2
Brianna Brown,1,nan,2600000.0,nan,5.2
Nick Searcy,1,nan,2600000.0,nan,5.2
Joe Cross,1,nan,2600000.0,45.0,7.5
Amy Badberg,1,nan,2600000.0,45.0,7.5
Merv Cross,1,nan,2600000.0,45.0,7.5
Donald O'Connor,1,1884537.0,2540000.0,99.0,8.3
Debbie Reynolds,1,1884537.0,2540000.0,99.0,8.3
Michael J. Pollard,1,nan,2500000.0,86.0,7.7
Essence Atkins,2,42637327.0,4100000.0,nan,8.7
Marlene Forte,2,nan,3500000.0,nan,10.7
Jay Bastian,1,33449086.0,2500000.0,26.0,4.8
Joe Biden,2,33882674.0,2900000.0,nan,9.399999999999999
Cait Brasel,1,33449086.0,2500000.0,26.0,4.8
Harry Ratchford,1,32244051.0,2500000.0,53.0,6.7
Will 'Spank' Horton,2,39950487.0,3250000.0,nan,14.0
Charles Cyphers,1,25533818.0,2500000.0,40.0,6.5
Bill Maher,1,13011160.0,2500000.0,56.0,7.6
Tal Bachman,1,13011160.0,2500000.0,56.0,7.6
Jonathan Boulden,1,13011160.0,2500000.0,56.0,7.6
Roddy McDowall,3,30236972.0,6000000.0,158.0,17.799999999999997
Bradford Dillman,1,12348905.0,2500000.0,69.0,6.3
Melvyn Douglas,1,nan,2500000.0,62.0,7.8
Andrea Eckert,1,5535405.0,2500000.0,77.0,8.1
Julian Dennison,1,5205468.0,2500000.0,81.0,7.8
Rima Te Wiata,2,nan,4000000.0,157.0,14.5
Michel Côté,1,2014071.0,2500000.0,nan,6.4
Patrick Huard,1,2014071.0,2500000.0,nan,6.4
Catherine Florent,1,2014071.0,2500000.0,nan,6.4
Robert Michael Kelly,1,1302067.0,2500000.0,76.0,6.9
Torben Brooks,1,1302067.0,2500000.0,76.0,6.9
Michelle Krusiec,1,1187266.0,2500000.0,65.0,7.4
Lynn Chen,1,1187266.0,2500000.0,65.0,7.4
Tannishtha Chatterjee,1,1095398.0,2500000.0,61.0,6.6
Satish Kaushik,1,1095398.0,2500000.0,61.0,6.6
Christopher Simpson,1,1095398.0,2500000.0,61.0,6.6
Ibrahim Ahmed,1,1076075.0,2500000.0,92.0,7.1
Abel Jafri,1,1076075.0,2500000.0,92.0,7.1
Toulou Kiki,1,1076075.0,2500000.0,92.0,7.1
William Brent,1,549632.0,2500000.0,nan,4.8
John Marengo,1,549632.0,2500000.0,nan,4.8
Samantha Hanratty,1,549632.0,2500000.0,nan,4.8
Laurie Lennard,1,32465.0,2500000.0,nan,7.3
Joshua Tickell,1,32465.0,2500000.0,nan,7.3
Anupam Kher,2,nan,4000000.0,nan,9.5
Spencer Jones,1,100280.0,2500000.0,55.0,7.1
Tyler Barrick,1,100280.0,2500000.0,55.0,7.1
Dustin Lance Black,1,100280.0,2500000.0,55.0,7.1
Luis Fernando Peña,1,80136.0,2500000.0,59.0,6.0
Leonor Varela,1,80136.0,2500000.0,59.0,6.0
Jacob Vargas,1,80136.0,2500000.0,59.0,6.0
Adrian Dunbar,1,72210.0,2500000.0,54.0,5.6
George Harris,1,72210.0,2500000.0,54.0,5.6
Gabriel Almirón,1,nan,2500000.0,38.0,6.4
Federico Cecere,1,nan,2500000.0,38.0,6.4
Ezequiel Cipols,1,nan,2500000.0,38.0,6.4
Françoise Graton,1,nan,2500000.0,nan,8.4
Gilles Pelletier,1,nan,2500000.0,nan,8.4
Gil Bellows,2,nan,2660000.0,92.0,11.6
Bianca Brigitte Van Damme,1,nan,2500000.0,nan,3.1
Andrew Shim,1,nan,2500000.0,nan,3.1
Sean Brosnan,1,nan,2500000.0,nan,3.1
A.J. Buckley,1,nan,2500000.0,nan,5.3
Jessica Cook,1,nan,2500000.0,46.0,5.1
Thomas Morris,1,nan,2500000.0,nan,3.6
Eva Habermann,1,nan,2500000.0,nan,3.6
Barbara Nedeljakova,1,nan,2500000.0,nan,3.6
Meg Tilly,1,nan,2500000.0,56.0,4.9
Matt Vael,1,nan,2500000.0,nan,4.9
Simon Cotton,1,nan,2500000.0,nan,4.9
Kevin Leslie,1,nan,2500000.0,nan,4.9
Michael Gladis,1,nan,2500000.0,nan,5.8
Dan Bakkedahl,1,nan,2500000.0,nan,5.8
Aimee Garcia,1,180237.0,2450000.0,44.0,3.7
Al Bandiero,1,180237.0,2450000.0,44.0,3.7
Jossara Jinaro,1,180237.0,2450000.0,44.0,3.7
Laura Jordan,1,1008849.0,2400000.0,34.0,4.9
Sherlyn,1,nan,2400000.0,nan,6.8
Pierre Angelo,1,nan,2400000.0,nan,6.8
Ato Blankson-Wood,1,nan,2400000.0,75.0,6.7
James Wolk,1,nan,2400000.0,30.0,5.2
Jo Hartley,1,329379.0,2380000.0,86.0,7.7
Red Skelton,1,nan,2361000.0,nan,6.4
Esther Williams,1,nan,2361000.0,nan,6.4
Basil Rathbone,1,nan,2361000.0,nan,6.4
Kathryn Grayson,1,nan,2300000.0,nan,6.9
Valene Kane,1,1744740.0,2300000.0,54.0,6.7
Morgan Watkins,1,1744740.0,2300000.0,54.0,6.7
Christine Adams,1,1744740.0,2300000.0,54.0,6.7
Eddie Mills,1,676631.0,2300000.0,nan,6.7
Olivia Katz,1,269435.0,2300000.0,52.0,6.1
Christian Kutz,1,269435.0,2300000.0,52.0,6.1
Ron Fazio,1,792966.0,2300000.0,nan,5.0
John Altamura,1,792966.0,2300000.0,nan,5.0
Phoebe Legere,1,792966.0,2300000.0,nan,5.0
Timothy Stack,1,nan,2300000.0,nan,7.2
Timothy E. Day,1,nan,2300000.0,nan,7.2
Leopold Stokowski,1,76408097.0,2280000.0,96.0,7.7
Deems Taylor,1,76408097.0,2280000.0,96.0,7.7
The Philadelphia Orchestra,1,76408097.0,2280000.0,96.0,7.7
Tracie Savage,1,nan,2250000.0,nan,7.1
Fernando Rey,1,51700000.0,2200000.0,94.0,7.7
Michael Felsher,1,nan,2200000.0,nan,8.4
Tiffany Helm,1,nan,2200000.0,nan,8.4
Harry Manfredini,1,nan,2200000.0,nan,8.4
Tom Morga,1,nan,2200000.0,nan,8.4
Sylvie Testud,1,nan,2200000.0,nan,6.1
Nathalie Boutefeu,1,nan,2200000.0,nan,6.1
Alexandre Steiger,1,nan,2200000.0,nan,6.1
Marion Bailey,1,nan,2200000.0,38.0,6.3
Brian Austin Green,1,nan,2200000.0,nan,4.2
Melissa Keller,1,nan,2200000.0,nan,4.2
Kayla Ewell,1,nan,2200000.0,nan,4.2
Greer Garson,1,nan,2160000.0,nan,7.3
Donald Crisp,1,nan,2160000.0,nan,7.3
Chris Bisson,1,nan,2160000.0,nan,5.7
Saeed Jaffrey,2,nan,2560000.0,nan,12.5
Sally Bankes,1,nan,2160000.0,nan,5.7
Trevor Matthews,1,nan,2150000.0,46.0,5.9
Myrna Loy,1,23650000.0,2100000.0,93.0,8.1
Fredric March,1,23650000.0,2100000.0,93.0,8.1
Per Christian Ellefsen,1,314729.0,2100000.0,70.0,7.5
Sven Nordin,1,314729.0,2100000.0,70.0,7.5
Marit Pia Jacobsen,1,314729.0,2100000.0,70.0,7.5
Robert Fontaine,1,3330.0,2100000.0,nan,6.7
Michael Brainard,1,3330.0,2100000.0,nan,6.7
Grant Boyd,1,3330.0,2100000.0,nan,6.7
Manuela Velasco,1,nan,2100000.0,71.0,7.4
Ferran Terraza,1,nan,2100000.0,71.0,7.4
Jorge-Yamam Serrano,1,nan,2100000.0,71.0,7.4
Christy Carlson Romano,1,nan,2100000.0,nan,2.7
Martha Higareda,1,nan,2100000.0,nan,6.1
Yul Vazquez,1,nan,2100000.0,nan,6.1
Elisa Lasowski,1,nan,2100000.0,nan,4.4
John Aprea,1,nan,2100000.0,nan,6.7
David Proval,1,nan,2100000.0,nan,6.7
Robert Costanzo,1,nan,2100000.0,nan,6.7
Ken Bevel,2,68483393.0,2500000.0,70.0,13.3
Kevin Downes,1,35027076.0,2000000.0,42.0,6.9
Lotte Lenya,1,24796765.0,2000000.0,83.0,7.3
Warren Oates,1,nan,2000000.0,76.0,7.9
John Beck,1,18344729.0,2000000.0,77.0,7.1
Louise Lasser,2,nan,4000000.0,133.0,13.600000000000001
Maika Monroe,1,14674076.0,2000000.0,83.0,6.8
Olivia Luccardi,1,14674076.0,2000000.0,83.0,6.8
Elsie Fisher,1,13539709.0,2000000.0,87.0,7.4
Emily Robinson,1,13539709.0,2000000.0,87.0,7.4
John Megna,1,592237.0,2000000.0,88.0,8.3
Frank Overton,1,592237.0,2000000.0,88.0,8.3
Adam Trese,1,12754783.0,2000000.0,49.0,5.2
Eric Sheffer Stevens,1,12754783.0,2000000.0,49.0,5.2
Claudette Colbert,2,nan,2325000.0,nan,15.1
John Garfield,1,nan,2000000.0,nan,7.2
Jackie Gleason,1,nan,2000000.0,90.0,8.0
Tawny Kitaen,1,7369373.0,2000000.0,45.0,5.7
Stephen Nichols,1,7369373.0,2000000.0,45.0,5.7
Evan Adams,1,6745362.0,2000000.0,76.0,7.2
Irene Bedard,2,nan,2700000.0,nan,13.4
Jermaine Sullivan,1,6047363.0,2000000.0,29.0,6.4
Ken Niumatalolo,1,6047363.0,2000000.0,29.0,6.4
Carolina Muñoz Marin,1,6047363.0,2000000.0,29.0,6.4
Shari Springer Berman,1,6010990.0,2000000.0,90.0,7.4
Harvey Pekar,1,6010990.0,2000000.0,90.0,7.4
Bria Vinaite,1,5904366.0,2000000.0,92.0,7.6
Cara Buono,1,5802208.0,2000000.0,63.0,6.2
Myles Moore,1,5802208.0,2000000.0,63.0,6.2
Vernon Dobtcheff,1,5820649.0,2000000.0,91.0,8.1
Goya Toledo,1,5408467.0,2000000.0,83.0,8.1
Simon Yates,1,4593598.0,2000000.0,82.0,8.0
Joe Simpson,1,4593598.0,2000000.0,82.0,8.0
Brendan Mackey,1,4593598.0,2000000.0,82.0,8.0
Gylfi Zoega,1,4312735.0,2000000.0,88.0,8.2
Andri Snær Magnason,1,4312735.0,2000000.0,88.0,8.2
Tyrone Power,1,nan,2000000.0,nan,6.9
Alice Faye,1,nan,2000000.0,nan,6.9
Don Ameche,1,nan,2000000.0,nan,6.9
Miranda July,3,4639372.0,3500000.0,224.0,19.6
Miles Thompson,1,3885134.0,2000000.0,76.0,7.2
Freddy Rodríguez,1,3337931.0,2000000.0,56.0,6.8
Henry Silva,1,3308029.0,2000000.0,68.0,7.5
Yeri Han,1,3110580.0,2000000.0,89.0,7.4
Alan Kim,1,3110580.0,2000000.0,89.0,7.4
Mimi Rogers,1,2583301.0,2000000.0,36.0,5.4
Brett Dalton,1,2303792.0,2000000.0,36.0,6.3
Anjelah Johnson-Reyes,1,2303792.0,2000000.0,36.0,6.3
Neil Flynn,1,2303792.0,2000000.0,36.0,6.3
Ari Folman,1,2283849.0,2000000.0,91.0,8.0
Ron Ben-Yishai,1,2283849.0,2000000.0,91.0,8.0
Ronny Dayag,1,2283849.0,2000000.0,91.0,8.0
Amy Sedaris,1,2072645.0,2000000.0,57.0,5.9
Paul Dinello,1,2072645.0,2000000.0,57.0,5.9
Lisanne Falk,1,2015810.0,2000000.0,68.0,7.7
Olivier Gruner,1,2001124.0,2000000.0,nan,5.4
Tim Thomerson,1,2001124.0,2000000.0,nan,5.4
Sook-Yin Lee,1,2016181.0,2000000.0,64.0,6.4
Peter Stickles,1,2016181.0,2000000.0,64.0,6.4
PJ DeBoy,1,2016181.0,2000000.0,64.0,6.4
Noah Dalton Danby,1,1680020.0,2000000.0,nan,3.0
Jacque Gray,2,4317746.0,2300000.0,nan,9.2
Bryce Chamberlain,1,1680020.0,2000000.0,nan,3.0
Gerald Burke,1,1433319.0,2000000.0,89.0,8.2
Ali Fadhil,1,1433319.0,2000000.0,89.0,8.2
Ruth Wilson,1,1375769.0,2000000.0,83.0,7.1
Ben Silverstone,1,1152979.0,2000000.0,nan,7.5
Brad Gorton,1,1152979.0,2000000.0,nan,7.5
Charlotte Brittain,1,1152979.0,2000000.0,nan,7.5
Essie Davis,1,964413.0,2000000.0,86.0,6.8
Noah Wiseman,1,964413.0,2000000.0,86.0,6.8
Daniel Henshall,1,964413.0,2000000.0,86.0,6.8
Rob Stewart,1,850920.0,2000000.0,59.0,7.9
Paul Watson,1,850920.0,2000000.0,59.0,7.9
Erich Ritter,1,850920.0,2000000.0,59.0,7.9
Linda Lovelace,2,nan,2025000.0,nan,11.7
Harry Reems,2,nan,2025000.0,nan,11.7
Edoardo Ballerini,1,634566.0,2000000.0,79.0,7.3
John Rothman,1,634566.0,2000000.0,79.0,7.3
Matt Bennett,1,636706.0,2000000.0,40.0,4.5
Zack Pearlman,1,636706.0,2000000.0,40.0,4.5
Krysta Rodriguez,1,636706.0,2000000.0,40.0,4.5
Sofia Buenaventura,1,406473.0,2000000.0,78.0,6.8
Julián Giraldo,1,406473.0,2000000.0,78.0,6.8
Karen Quintero,1,406473.0,2000000.0,78.0,6.8
Richard Bohringer,1,390659.0,2000000.0,53.0,6.5
Jess Weixler,1,347578.0,2000000.0,57.0,5.4
John Hensley,1,347578.0,2000000.0,57.0,5.4
Josh Pais,1,347578.0,2000000.0,57.0,5.4
Jonny Beauchamp,1,187674.0,2000000.0,30.0,5.3
Sam Bottoms,1,199176.0,2000000.0,66.0,6.6
Jeremy Jordan,1,145427.0,2000000.0,60.0,5.8
