Actor,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating
Cam Gigandet,7,nan,194000000.0,nan,36.6
Maggie Q,2,56446289.0,67000000.0,63.0,10.600000000000001
Breckin Meyer,5,171071224.0,171300000.0,nan,29.7
Ice Cube,18,1130394029.0,470000000.0,nan,105.69999999999999
Ariel Gade,1,25473352.0,60000000.0,52.0,5.6
Geoffrey Blake,1,22431897.0,60000000.0,48.0,6.1
Gabriel Macht,5,132366957.0,194000000.0,nan,29.000000000000004
James Gandolfini,6,150186567.0,170600000.0,302.0,40.5
Eliza Bennett,1,17303424.0,60000000.0,49.0,6.1
Tony Jaa,5,19905626.0,95100000.0,262.0,29.700000000000003
Peter Facinelli,2,14907086.0,62300000.0,nan,11.5
Jennifer Decker,1,13090630.0,60000000.0,47.0,6.5
Jessica Brown Findlay,2,18375307.0,100000000.0,67.0,12.0
Kelly Preston,8,307689036.0,265000000.0,340.0,46.6
Luke Wilson,16,nan,280400000.0,nan,95.3
Erdil Yasaroglu,1,8286741.0,60000000.0,60.0,6.7
Tim Hill,1,4810790.0,60000000.0,65.0,5.9
Clancy Brown,3,20504196.0,113500000.0,147.0,20.1
Ray Liotta,10,246769675.0,256000000.0,nan,63.00000000000001
Linus Roache,3,5668946.0,81000000.0,174.0,19.3
Mackenyu,1,1090155.0,60000000.0,35.0,4.4
Madison Iseman,2,47790788.0,95000000.0,88.0,10.0
Joel Kinnaman,2,26762104.0,110000000.0,120.0,13.2
Arsenio Hall,1,nan,60000000.0,52.0,5.3
Shari Headley,1,nan,60000000.0,52.0,5.3
Terry Crews,2,nan,67000000.0,36.0,7.0
Jorge Garcia,1,nan,60000000.0,18.0,4.8
Barbara Luddy,1,93602326.0,60000000.0,78.0,7.3
Larry Roberts,1,93602326.0,60000000.0,78.0,7.3
Peggy Lee,1,93602326.0,60000000.0,78.0,7.3
Louis Ashbourne Serkis,1,16790790.0,59000000.0,66.0,6.1
Denise Gough,1,16790790.0,59000000.0,66.0,6.1
Dean Chaumoo,1,16790790.0,59000000.0,66.0,6.1
T.J. Miller,4,535938576.0,173000000.0,165.0,23.700000000000003
Kyle Gallner,3,460498222.0,76250000.0,219.0,20.0
Dylan Minnette,1,80080379.0,58000000.0,60.0,6.3
Odeya Rush,2,nan,71000000.0,113.0,12.8
Richard Crenna,3,251343947.0,116000000.0,144.0,20.0
Marc de Jonge,1,53715611.0,58000000.0,36.0,5.8
Humphrey Bogart,2,nan,59039000.0,172.0,16.1
Audrey Hepburn,5,nan,89500000.0,nan,36.099999999999994
William Holden,5,nan,84800000.0,409.0,38.7
Gerald McRaney,1,49876377.0,58000000.0,46.0,5.9
Donal Logue,1,48318130.0,58000000.0,47.0,6.7
Stephen Baldwin,3,nan,88100000.0,nan,14.400000000000002
Kristen Johnston,1,35268275.0,58000000.0,27.0,3.7
John Krasinski,6,300405261.0,186000000.0,337.0,38.800000000000004
Ali Larter,7,319504108.0,246500000.0,251.0,41.3
Wentworth Miller,1,60128566.0,57500000.0,37.0,5.8
Leighton Meester,4,117636779.0,108500000.0,142.0,22.400000000000002
Ciarán Hinds,7,nan,162500000.0,nan,45.8
Brittany Snow,6,nan,172000000.0,nan,35.6
Max Thieriot,4,185104274.0,107900000.0,139.0,21.700000000000003
Ashley Scott,3,nan,78500000.0,nan,17.2
Johnny Knoxville,11,nan,231200000.0,542.0,68.1
Zazie Beetz,2,335797633.0,82000000.0,95.0,13.3
Ross Bagdasarian Jr.,1,217326974.0,55000000.0,39.0,5.2
Janice Karman,1,217326974.0,55000000.0,39.0,5.2
Lucy Boynton,1,216668042.0,55000000.0,49.0,7.9
Gwilym Lee,1,216668042.0,55000000.0,49.0,7.9
Christopher Reeve,5,328005395.0,170100000.0,262.0,30.099999999999998
Margot Kidder,6,nan,179000000.0,363.0,37.1
James Coburn,2,209986579.0,87000000.0,91.0,10.9
Dakota Johnson,7,528871697.0,278200000.0,359.0,41.0
Jamie Dornan,3,381156240.0,150000000.0,110.0,13.3
Eric Johnson,3,218336657.0,117500000.0,nan,15.6
Barkhad Abdi,1,107100855.0,55000000.0,82.0,7.8
Barkhad Abdirahman,1,107100855.0,55000000.0,82.0,7.8
Thomas Haden Church,8,436490856.0,230000000.0,420.0,48.69999999999999
Jason Biggs,9,548306015.0,267000000.0,391.0,56.89999999999999
Alyson Hannigan,4,nan,130000000.0,nan,19.8
Cathy Moriarty,3,124255889.0,74000000.0,nan,21.1
Tina Fey,7,372820345.0,238000000.0,379.0,43.6
Natasha Richardson,2,95681196.0,71000000.0,105.0,11.8
Matt Craven,1,91387195.0,55000000.0,66.0,7.3
Andre Braugher,2,84439363.0,57400000.0,138.0,13.600000000000001
Hugh Bonneville,2,81927291.0,80000000.0,96.0,11.7
Sally Hawkins,4,141694238.0,84400000.0,305.0,29.0
Julie Walters,5,148219762.0,91200000.0,322.0,35.5
Anthony Franzzo,1,nan,55000000.0,nan,nan
Erica Franzzo,1,nan,55000000.0,nan,nan
Blair Herter,1,nan,55000000.0,nan,nan
Vivica Johnson,1,nan,55000000.0,nan,nan
Jaye Davidson,2,134116209.0,59000000.0,132.0,14.2
Heather Graham,9,338720690.0,181200000.0,459.0,52.7
Lawrence Bender,1,nan,55000000.0,nan,7.1
David Carradine,5,nan,72300000.0,nan,32.2
Vivica A. Fox,7,nan,108600000.0,nan,41.3
