,ProductionBudget,Director_Avg_Rating,OMDB_Runtime,ReleaseMonth,Writer_Avg_Rating,OMDB_imdbRating,orig_index,actual,predictions
4496,4000000,6.6,107.0,10.0,6.77,6.9,4570,6.9,6.8185434
4497,4000000,2.9,96.0,4.0,2.9,2.9,4571,2.9,2.7581797
4498,4000000,7.0,110.0,1.0,7.2,7.2,4572,7.2,7.308922
4499,4000000,7.07,84.0,1.0,7.07,7.4,4573,7.4,7.1666985
4500,4000000,5.7,94.0,9.0,5.7,5.7,4574,5.7,5.650566
4501,4000000,8.4,102.0,8.0,8.4,8.4,4575,8.4,8.62888
4502,4000000,6.72,93.0,7.0,7.19,6.4,4576,6.4,7.145012
4503,4000000,6.5,83.0,6.0,6.5,6.5,4577,6.5,6.5290914
4504,4000000,7.0,96.0,10.0,6.98,6.5,4578,6.5,7.079669
4505,4000000,5.1,103.0,4.0,5.52,5.1,4579,5.1,5.263001
4506,4000000,6.36,88.0,9.0,6.43,6.1,4580,6.1,6.4377255
4507,4000000,6.7,101.0,3.0,6.89,6.7,4581,6.7,6.947522
4508,4000000,5.0,87.0,3.0,5.0,5.0,4582,5.0,4.928018
4509,4000000,6.65,115.0,7.0,7.0,7.0,4583,7.0,7.037478
4510,4000000,5.97,97.0,7.0,6.0,6.0,4584,6.0,5.990914
4511,4000000,6.8,99.0,2.0,6.8,6.8,4585,6.8,6.9113436
4512,4000000,6.45,106.0,1.0,6.45,5.4,4586,5.4,6.5329967
4513,4000000,6.55,92.0,10.0,6.38,6.2,4587,6.2,6.4709253
4514,4000000,6.12,117.0,4.0,6.8,6.8,4588,6.8,6.726283
4515,4000000,5.8,102.0,12.0,5.53,5.8,4589,5.8,5.591579
4516,4000000,6.6,103.0,5.0,6.6,6.6,4590,6.6,6.6964836
4517,4000000,6.69,100.0,4.0,6.75,6.3,4591,6.3,6.833789
4518,4000000,6.0,95.0,9.0,6.0,6.0,4592,6.0,6.0025725
4519,4000000,5.35,86.0,1.0,6.68,6.2,4593,6.2,6.2445555
4520,4000000,6.2,104.0,4.0,6.2,6.2,4594,6.2,6.247244
4521,4000000,7.5,113.0,9.0,7.5,7.5,4595,7.5,7.6824923
4522,4000000,6.12,97.0,6.0,5.25,5.5,4596,5.5,5.5073314
4523,4000000,6.7,106.0,4.0,7.02,6.9,4597,6.9,7.054744
4524,4000000,6.9,113.0,4.0,6.9,6.9,4598,6.9,7.049924
4525,4000000,6.49,103.0,3.0,6.2,6.2,4599,6.2,6.3454814
4526,4000000,5.75,93.0,4.0,7.13,5.9,4600,5.9,6.7855577
4527,4000000,4.8,100.0,4.0,4.8,4.8,4601,4.8,4.7065306
4528,4000000,6.3,98.0,6.0,6.4,6.4,4602,6.4,6.429657
4529,4000000,5.6,110.0,3.0,5.6,5.6,4603,5.6,5.519545
4530,4000000,4.93,92.0,6.0,5.5,5.5,4604,5.5,5.1682944
4531,4000000,6.0,93.0,4.0,6.04,6.3,4605,6.3,6.007833
4532,4000000,6.2,119.0,12.0,6.2,6.0,4606,6.0,6.284671
4533,4000000,5.2,93.0,8.0,5.2,5.2,4607,5.2,5.088912
4534,4000000,6.07,96.0,8.0,5.43,5.0,4608,5.0,5.5733757
4535,4000000,6.1,99.0,11.0,6.15,6.2,4609,6.2,6.1646004
4536,4000000,7.1,132.0,10.0,7.1,7.1,4610,7.1,7.2972198
4537,4000000,6.33,90.0,7.0,6.14,6.1,4611,6.1,6.208898
4538,4000000,6.6,84.0,11.0,6.6,6.6,4612,6.6,6.6279078
4539,4000000,6.27,103.0,2.0,6.24,6.4,4613,6.4,6.2932806
4540,4000000,5.9,107.0,1.0,5.58,5.4,4614,5.4,5.6453457
4541,4000000,5.85,93.0,1.0,5.74,4.7,4616,4.7,5.7239356
4542,4000000,4.6,94.0,2.0,4.6,4.6,4617,4.6,4.5211754
4543,4000000,6.4,84.0,7.0,6.4,6.4,4618,6.4,6.420389
4544,4000000,3.5,88.0,9.0,3.5,3.5,4619,3.5,3.3383698
4545,4000000,6.8,118.0,2.0,5.95,6.8,4620,6.8,6.3084416
4546,3800000,7.0,92.0,7.0,7.0,7.0,4621,7.0,7.093605
4547,3800000,6.8,99.0,3.0,6.8,6.8,4622,6.8,6.9083953
4548,3750000,7.3,115.0,5.0,7.3,7.3,4623,7.3,7.484349
4549,3750000,7.3,97.0,5.0,7.3,7.3,4624,7.3,7.4370604
4550,3750000,6.9,84.0,4.0,6.9,6.9,4625,6.9,6.973938
4551,3750000,6.7,101.0,5.0,6.7,6.7,4626,6.7,6.799451
4552,3700000,6.55,109.0,12.0,6.75,6.8,4628,6.8,6.7862406
4553,3700000,6.41,113.0,2.0,6.71,6.8,4629,6.8,6.7513857
4554,3600000,6.4,110.0,12.0,6.4,6.4,4630,6.4,6.4773884
4555,3500000,6.61,88.0,7.0,6.53,7.7,4631,7.7,6.60225
4556,3500000,6.52,91.0,9.0,7.13,7.2,4632,7.2,7.0225744
