Writer,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating,Average_Box_Office,Average_IMDB_Rating,Success_Metric
Bill Finger,1,330360194.0,263000000,44.0,6.5,330360194.0,6.5,13.10720388
Irene Mecchi,3,945706405.0,439300000,250.0,24.0,315235468.3333333,8.0,14.304709366666668
Jonathan Roberts,4,880131139.0,404300000,256.0,28.099999999999998,220032784.75,7.0249999999999995,11.425655695
Linda Woolverton,9,2384266378.0,1257300000,605.0,65.5,264918486.44444445,7.277777777777778,12.576147506666667
Dan Fogelman,8,701495591.0,748000000,440.0,54.4,87686948.875,6.8,8.5537389775
Jacob Grimm,3,271873065.0,315000000,158.0,19.3,90624355.0,6.433333333333334,8.245820433333334
Wilhelm Grimm,3,271873065.0,315000000,158.0,19.3,90624355.0,6.433333333333334,8.245820433333334
Sam Raimi,7,455513322.0,359875000,454.0,49.1,65073331.71428572,7.014285714285714,8.31575234857143
Ivan Raimi,3,390133904.0,299000000,201.0,20.299999999999997,130044634.66666667,6.766666666666666,9.36755936
Alvin Sargent,6,729131461.0,589200000,nan,39.1,121521910.16666667,6.516666666666667,8.94710487
Ryan Coogler,5,1436384463.0,562900000,395.0,35.9,287276892.6,7.18,12.925537852000001
Joe Robert Cole,2,1154255626.0,450000000,155.0,14.0,577127813.0,7.0,18.542556259999998
Joe Simon,3,844505426.0,560000000,211.0,22.5,281501808.6666667,7.5,13.130036173333334
James Gunn,11,1512245047.0,966250000,629.0,75.1,137476822.45454547,6.827272727272727,9.576809176363636
