,runtimeMinutes,averageRating,OMDB_Metascore,ProductionBudget,genres,User_rating,orig_index,actual,predictions
252,118,7.0,70.0,130000000.0,Comedy,7.8,184966,7.8,7.726666666666667
253,119,7.6,66.0,110000000.0,Comedy,7.7,188640,7.7,7.843999999999999
254,104,6.5,53.0,150000000.0,Comedy,8.7,193005,8.7,8.161333333333339
255,130,7.4,73.0,75000000.0,Thriller,7.3,195770,7.3,7.565333333333334
256,129,7.4,69.0,160000000.0,Comedy,8.7,197483,8.7,8.49066666666667
257,132,7.2,72.0,185000000.0,Comedy,7.4,197613,7.4,7.583999999999992
258,113,5.7,43.0,200000000.0,Action,7.5,199798,7.5,7.0840000000000005
259,92,7.1,46.0,100000000.0,Comedy,8.2,200910,8.2,8.026666666666667
260,150,7.3,69.0,205000000.0,Thriller,7.2,200959,7.2,7.34533333333333
261,150,7.9,64.0,250000000.0,Comedy,9.3,201449,9.3,9.011999999999995
262,137,6.5,60.0,200000000.0,Thriller,7.4,201584,7.4,7.127999999999994
263,151,5.4,60.0,200000000.0,Action,6.8,204026,6.8,6.608000000000006
264,161,7.6,83.0,90000000.0,Comedy,8.3,204057,8.3,8.254666666666669
265,127,6.3,52.0,90000000.0,Drama,6.9,208230,6.9,7.087999999999999
266,100,7.0,83.0,175000000.0,Comedy,9.0,211342,9.0,8.552000000000001
267,119,8.2,78.0,100000000.0,Drama,8.9,214440,8.9,8.699999999999996
268,161,6.7,67.0,250000000.0,Drama,8.2,217918,8.2,7.661333333333331
269,140,8.7,86.0,100000000.0,Action,8.7,219308,8.7,8.561333333333334
270,132,7.4,71.0,150000000.0,Action,8.8,219371,8.8,8.633333333333331
271,126,6.9,60.0,200000000.0,Action,8.7,219572,8.7,8.024000000000001
